era,pche_variant,risk_qid,n,interaction_beta,interaction_se,interaction_p,adj_r2
2004-2008,strict_preconception_8,QUO197,97,-0.3890450669962007,0.12394428935068505,0.002272872212070176,0.600438613820897
2004-2008,strict_preconception_8,QUO210,97,-0.38450622188442907,0.11683713236530685,0.001411736464506319,0.6058343135348313
2009-2011,strict_preconception_8,QUO197,83,-0.7437769567187215,0.207954042067613,0.0005978841503662125,0.3719872804238389
2009-2011,strict_preconception_8,QUO210,83,-0.7765763150143561,0.20092822744925634,0.00022660274080288367,0.4097560018227029
2004-2008,narrow_prepreg_5,QUO197,97,-0.3681469259403137,0.1290136178290937,0.005329047256848796,0.5841575922642763
2004-2008,narrow_prepreg_5,QUO210,97,-0.36926532781971816,0.12230963846849692,0.003271987831444001,0.5862719732569039
2009-2011,narrow_prepreg_5,QUO197,83,-0.720054064515849,0.2067122397935308,0.0008104037579059753,0.3691209296600544
2009-2011,narrow_prepreg_5,QUO210,83,-0.7369939712874147,0.19890718115786588,0.0003900371791047963,0.40381691126522723
2004-2008,narrow_no_intent_4,QUO197,97,-0.26826684843398785,0.13357783071403528,0.04750996161428733,0.5621578245619476
2004-2008,narrow_no_intent_4,QUO210,97,-0.2917657841574677,0.12585261730883926,0.02262426366773984,0.5671485186674821
2009-2011,narrow_no_intent_4,QUO197,83,-0.688722525633042,0.21042895634080108,0.0015800689547647018,0.36491139623605595
2009-2011,narrow_no_intent_4,QUO210,83,-0.7164488318614683,0.20375096188988315,0.0007283017400971925,0.39975378180413235
